simulation_number,Q_raw_inf,C1_surface_area,C1_height,Q_int,Q_was,Q_ext,inf_S_O2,inf_S_N2,inf_S_NH4,inf_S_NO3,inf_S_PO4,inf_S_F,inf_S_A,inf_S_I,inf_S_ALK,inf_X_I,inf_X_S,inf_X_H,inf_X_PAO,inf_X_PP,inf_X_PHA,inf_X_AUT,inf_X_MeOH,inf_X_MeP,inf_COD,inf_BOD,inf_TN,inf_TKN,inf_TP,inf_TSS,inf_VSS
3772,15352.599813557692,2481.2393141049765,4.290265812311481,9777.715039185436,558.4836261499688,6588.39605130094,5.683329759441078,230.53301804073655,0.02244155215567371,225.75610622363186,29.667533080484645,0.7038928194118551,0.0009312199029976162,520.524825250118,94.55817905080946,602.0669595480256,111.75789131061067,6456.909694138991,755.6003335751672,253.81486056308037,1.3951872229769715,994.6712600645623,1.2184148570173183,63.35250945609447,9443.630975149768,4716.645423660816,822.0192578007664,596.2631515771346,467.7822658169771,8805.827158309728,6902.918205074252
3773,16818.855113576647,1036.3571922566298,4.132740071227992,933.1868544094376,517.1506601297589,18718.457799731612,0.3457682952645843,285.32301787020833,185.63738705574735,102.94928155817148,89.09146675737277,0.20842692856836284,0.005974126892027454,457.49722328035824,353.2207262882264,1106.888461785223,115.34879583665688,5772.101060742072,875.872355608593,292.37838784900276,21.49958301304434,411.4616477831758,0.6134350584788918,93.00424723653411,8760.883529104583,4079.6764647489367,814.0800692131191,711.1307876549477,553.9836680400466,8319.591602801538,6347.653860381733
3774,9545.609587810042,1365.110090575975,3.460615502279934,1613.8557349232601,228.94542443857404,11055.242738079445,6.046477149424219,355.2861014995672,0.015818387794747694,186.6140972033011,241.981735467287,0.9544012851935018,0.0003135088779569052,696.7870280812348,277.89864338230893,2104.3411990724326,64.44162186845963,3698.268092346838,811.1503982625769,271.74715764168394,0.011386100404251899,845.9475332295108,0.3661488126329136,150.8262682632857,8221.901973755528,3072.6281233588616,613.1665284353758,426.5524312320748,673.5093815024105,7474.041316536619,5611.858300451528
3775,10521.427371494136,2557.2083154390366,2.510475327341334,2107.2779593655746,549.6605660938603,1053.0048856341173,2.607807929403827,192.7059994089751,0.03024500128099927,151.5137126184225,156.32662386593057,0.559722883689161,0.07724883488063984,261.72698355746275,304.31374685631187,1173.0606733671125,136.22291588953325,8998.744192289278,192.7478017881124,65.1051477038764,417.73247800948644,977.8841306811743,0.20376803848820707,54.12668593000562,12158.75614730073,6084.067378252797,894.944477977812,743.4307653593895,449.0339417840675,10648.184695970087,9078.121272817036
3776,7312.126444692377,1652.9447432031159,8.80008858713131,2613.8503618809036,419.6575863772206,7719.252658069201,6.105127588530008,127.57524859875697,244.0569546053326,275.79571268675556,115.51199691585369,2.1687557044509713,0.07022790994903397,431.80549845226494,0.1556602325734,1879.9055579719914,111.10506465253748,7714.9509973374215,746.4918938097311,249.37531548180036,383.5847018206725,429.6614894668541,0.007526165002901462,57.29448438984117,11699.744187125872,5326.527171345671,1188.655405336266,912.8596926495107,574.407991867003,10585.912225700018,8498.27338546222
3777,14966.2744752259,2161.3420164256413,2.698771500356166,2779.791710382737,772.3975849490621,1836.6847533128534,6.909831129075552,187.86450887815954,130.59576716892525,342.30947091254075,192.39303552847744,96.33161183492821,0.40392021956443047,642.6079267611921,0.04096176623117515,871.7202258332109,70.62409635310574,4380.044298714694,485.69243729940126,161.93515824661796,848.7163689992983,1028.7202189937768,0.001943840929375103,90.40828954393321,8424.861105009171,3942.502930871949,915.0926209254653,572.7831500129246,501.17160527694665,7131.317315084081,5742.83191856637
3778,7246.208177227282,2563.5242161018755,4.66426221885019,5815.126494630196,251.9150663236181,7904.096148768005,6.393400422652695,96.85306211914249,0.010323369767236173,395.66442237102063,46.78719681422871,1.6092974869405083,0.0003095344138035203,820.8943545142431,38.430426661972604,2228.809546962328,75.62985814427708,4178.733852145007,723.7228232355209,243.65347241148493,0.10942634258348151,1696.1979808325543,1.595211898605931,142.2862777705221,9725.70744919787,3784.1399084549817,913.4391794104719,517.7747570394513,474.69615296794717,8596.88477686883,6674.852185359546
3779,19716.60396109319,2094.131503797121,7.985581211175723,16911.606813438382,701.9654786459664,9575.1293164529,0.00374002957242593,336.5953929350736,219.88712926712523,1.4523190824955523,0.12088665603838994,0.35019695494389913,0.14364721540534778,813.2921456758623,458.84926337347457,1062.8496337568376,236.6151175868594,8474.913099579757,671.1979469697328,167.2026236226091,50.07282011918976,563.0834267962861,34.984409102305854,72.17415762572877,11872.518034654875,5668.238053072882,939.8480862278433,938.3957671453477,389.3282454788299,10389.190432111016,8501.753345112282
3780,10943.111540885391,2490.4660885836847,2.4705697709424292,3431.8978701148344,490.99882744505186,1716.9937137975041,6.814892299439067,71.89427770962666,20.30641527684978,304.60350458899444,125.59113580956958,1.7962743601310935,0.0004639133762330251,334.27551620660574,0.17749996066073193,925.57086269111,71.8068009284388,4843.372307749535,612.321281856332,204.26149882095555,0.03971834074582456,249.49214219217134,0.020176289185165286,141.68597053348927,7038.675368238446,3275.741681341238,749.0532537755366,444.44974918654225,483.0467047331497,6683.204409713406,5123.736555125343
3781,11742.320684752558,2120.8601772068714,3.6340421891902803,29454.447072108713,333.7009546819377,18469.76727306251,3.5495602709409635,370.17882069682224,0.022091829824111352,6.805415370935927,194.7357631271276,0.8726015126760286,0.12337262768621772,842.635760822942,437.0024278374052,1832.984283705479,122.31139581065425,6628.25881232999,418.3938779726155,141.15577416964527,474.5310618508337,905.6375444445702,0.4600758056514381,151.38284605235995,11225.748711077447,4852.904267058799,613.4925007932079,606.6870854222718,545.5891271094431,9514.025045611377,7795.348456951908
3782,18446.335924013092,2930.2175207186333,5.027445228864138,14131.57182309931,446.8504556072864,15483.809227086871,2.1726557285171304,335.2349654258235,0.3471507731585361,57.57624633124076,138.16633431674467,0.2964421590176912,0.00732789139316658,830.563540387271,124.9973235239856,1821.1224352130068,128.6384022292435,5493.756884429601,560.9926027579637,186.16439573970564,18.255363472384555,808.763400983564,0.5629780570112866,136.05696195001377,9662.396399523444,3974.5500631215996,588.2518127384516,530.6755664072107,509.044124631376,8387.41292562089,6667.359068601779
3783,11958.845393471855,2571.928358447205,7.829725989391159,5512.661932695624,570.9764397032754,15618.512484411136,0.034660324655188,220.1855208910065,0.2502438082347431,182.78270479674075,127.13646894758044,0.2379383205710939,0.0013476168960833747,534.8355517668665,292.24330354639983,1341.414121307161,81.22135819133688,3645.823422521868,1421.0781993926773,477.64226066934174,0.2572011450514095,792.9616232120486,1.030203138712279,222.3506020406658,7817.830763474477,3367.857902105351,628.6560061849195,445.87330138817885,781.8697637120733,8104.856259717004,5522.821508263451
