simulation_number,Raw influent flow,Final effluent flow,Wastage flow,Total cycle flow,External recycle flow,Split internal ratio,Internal recycle flow
1746,7697.700720125582,7287.06652189281,410.63419823276513,14600.48368793256,6057.959372030173,0.05786271389594736,844.8236112739974
1747,16879.315188933266,16536.19752685228,343.117662080972,41876.57553992914,5028.238080181697,0.4768542330699981,19969.022350861786
1748,12400.17667631196,11750.468864453436,649.7078118585141,31745.7154158246,10768.226278149688,0.27018803579499895,8577.312504861433
1749,5836.893677314611,5176.542342382167,660.3513349324386,25285.70555837072,13170.00364631811,0.24831453666694828,6278.808268376678
1750,6380.198023683683,5832.745164790091,547.4528588935793,24717.1063936045,7975.904336766376,0.41918353600453945,10361.004075710225
1751,4397.2750449607165,4095.1214727369556,302.1535722237593,17388.300657646225,10279.541009365847,0.15593729796221523,2711.4846239203816
1752,13018.211777689468,12964.070708710631,54.14106897883384,42500.6946532442,16003.785141230825,0.31714064644813367,13478.697796563209
1753,14824.399023215914,14360.531877327812,463.86714588808,25323.463911812865,1226.1399305722898,0.36617916947067014,9272.924997978314
1754,18192.00139821449,17700.779156482175,491.2222417323079,37792.83795781801,19098.984043219985,0.013279038603465384,501.8525546849833
1755,11989.714272278272,11566.448369223459,423.2659030547992,25060.633416700635,9940.973149456517,0.12489492855119369,3129.946023603134
1756,13614.424241076196,12953.288105377036,661.1361356991486,36189.758246178615,15820.221556810455,0.18665812682501165,6755.112492787095
1757,7839.352510377821,7172.64312341684,666.7093869609713,30883.716017528546,16190.69510315354,0.2219185162495016,6853.668443689316
1758,11569.015073224067,11107.123486275355,461.89158694870315,46014.275622115056,19958.74519463312,0.3148265446845313,14486.51542141498
1759,4752.841336338207,4435.5038995188315,317.33743681937017,8501.154990882882,2460.8401615867288,0.151446891962311,1287.4735029763576
1760,10144.717949959871,9816.163207565403,328.5547423944541,17035.165879358607,5409.571399514003,0.0869305621916054,1480.8765485417637
1761,11246.448476040681,11096.313869438802,150.13460660187033,34501.96047643379,8123.891583011316,0.43857277218259094,15131.6204788358
1762,15637.746763793317,15024.827636990296,612.9191268030098,23595.993148253005,1300.668356808544,0.2821486686073245,6657.5780605214395
1763,9528.993906747903,9184.82306639808,344.17084034981605,16214.376676169579,6033.9869636498315,0.04017396628903922,651.3958226648799
1764,12014.85728887401,11859.729600694085,155.12768817992617,34610.13457169978,17539.504783007174,0.14607780631291647,5055.772540349381
1765,17320.278456393862,17206.025262234834,114.25319415902561,39638.25046611261,12988.050586253365,0.23537672206496443,9329.921475305619
1766,2672.099347438041,1933.7858653372061,738.3134821008339,9912.141480356531,6551.557900000587,0.06945867794506909,688.4842435699197
1767,19797.691536582606,19472.22005531695,325.47148126563764,39983.67654335148,10893.741486562321,0.23240092866686007,9292.243572295827
1768,16536.79153487547,16334.989817120022,201.80171775544443,44969.21688629531,17170.999079216585,0.2504252263419885,11261.426332196226
1769,16848.923826206403,16260.99417809803,587.9296481083562,33706.72197650025,7011.340287405161,0.29212149147758104,9846.457910505225
1770,13810.453817649552,13350.82713437414,459.62668327540916,22028.559326575643,1621.0047081895898,0.29947944960731954,6597.10083218248
1771,4792.0711012341,4089.5766680806128,702.4944331534839,34471.45237943816,13268.378827355822,0.47607516807468986,16411.002516642886
1772,2157.533277436282,1611.659799586197,545.8734778500819,29435.06328463479,13430.271230620527,0.4704341442079169,13847.258832161358
1773,5187.434605998956,4829.424661488438,358.00994451051497,11420.618592870895,2702.1662153937796,0.30917920550318956,3531.017788010113
1774,10856.628137986298,10483.610772517328,373.0173654689572,17781.487167503823,1333.8214995954263,0.3144302551881805,5591.037555858891
1775,16844.75053365124,16253.016669324274,591.733864326945,47639.34659166708,7428.88089070199,0.4904709423332067,23365.71526081064
1776,2012.4612069329205,1671.955600902852,340.50560603006693,21216.661536689015,15902.539197220234,0.15561643136188552,3301.6611576626674
1777,5053.884375941653,4794.393434921314,259.49094102033575,36854.034619875434,19622.210859131505,0.3304370755404005,12177.939439844204
1778,10469.790239059612,9852.017948988305,617.7722900713035,34369.81652806782,11609.661799591648,0.35759179900624594,12290.364542918076
1779,15385.23404869573,14815.164199799605,570.0698488961198,49084.84501401414,17725.341597392697,0.325441985452939,15974.269440691642
1780,4300.714942499246,3544.678563979939,756.0363785193051,24643.149059834137,16053.997137885623,0.1740214691588317,4288.437009284367
1781,15101.123846075021,14396.622628120007,704.5012179550031,42288.5602756417,14151.307333810893,0.3082660902398511,13036.129156889921
1782,8338.808195879621,7676.657835428639,662.1503604509829,14628.353055049545,3848.4022170324465,0.16687747742888773,2441.1426596959436
1783,10625.318271847118,10390.544745774827,234.77352607228545,17850.852206453732,5639.212317784379,0.08886531669897395,1586.3216364141276
1784,16572.621926919346,16473.4482711391,99.17365578023106,30367.82605536314,10724.507843704998,0.10111676448318964,3070.696318522747
1785,8522.965367769928,7728.973925625161,793.9914421447636,18887.113940278632,6804.790370387572,0.18845432035106038,3559.3582253941468
